code,component_type,component_id,coefficient
3.1.3.12,material,153,0.05
3.1.3.12,material,193,0.4
3.1.3.13,material,153,0.05
3.1.3.13,material,195,2.0
3.1.3.13,material,196,0.0035
3.1.3.14,material,171,0.05
3.1.3.14,material,197,1.1
3.1.3.2,material,156,0.02
3.1.3.2,material,181,0.75
3.1.3.3,material,153,0.2
3.1.3.3,material,182,30.0
3.1.3.4,material,153,0.05
3.1.3.4,material,183,0.6481
3.1.3.5,material,184,0.1002
3.1.3.5,material,185,8.0
3.1.3.6,material,153,0.03
3.1.3.6,material,186,1.5
3.1.3.6,material,187,0.35
3.1.3.6,material,188,0.5
3.1.3.7,material,153,0.05
3.1.3.7,material,189,1.3
3.1.3.8,material,171,0.15
3.1.3.8,material,190,1.3
3.1.3.9.1,material,191,1.1
3.1.3.9.1,material,192,0.05
3.10.1.1,material,15,9.3
3.10.1.1,material,122,0.018
3.10.1.1,material,154,2.75
3.10.1.1,material,359,52.5
3.10.1.2,material,15,9.3
3.10.1.2,material,122,0.018
3.10.1.2,material,154,2.9
3.10.1.2,material,360,105.0
3.10.1.3,material,15,9.3
3.10.1.3,material,122,0.018
3.10.1.3,material,154,2.75
3.10.1.3,material,361,52.0
3.10.1.4,material,15,9.3
3.10.1.4,material,122,0.018
3.10.1.4,material,154,1.94
3.10.1.4,material,362,26.0
3.10.2.1,material,15,9.3
3.10.2.1,material,122,0.018
3.10.2.1,material,363,11.67
3.10.2.2,material,15,9.3
3.10.2.2,material,122,0.018
3.10.2.2,material,364,6.56
3.10.2.3,material,15,9.3
3.10.2.3,material,122,0.018
3.10.2.3,material,365,2.92
3.10.2.4,material,15,9.3
3.10.2.4,material,122,0.018
3.10.2.4,material,363,11.67
3.10.2.5,material,15,9.3
3.10.2.5,material,122,0.018
3.10.2.5,material,364,6.56
3.10.2.6,material,15,9.3
3.10.2.6,material,122,0.018
3.10.2.6,material,365,2.92
3.10.3.1,material,15,9.3
3.10.3.1,material,122,0.018
3.10.3.1,material,154,0.5
3.10.3.1,material,366,1.05
3.10.3.2,material,15,9.3
3.10.3.2,material,122,0.018
3.10.3.2,material,154,2.75
3.10.3.2,material,367,53.0
3.10.3.3,material,15,9.3
3.10.3.3,material,122,0.018
3.10.3.3,material,154,1.94
3.10.3.3,material,368,26.25
3.10.4.1,material,15,12.44
3.10.4.1,material,122,0.025
3.10.4.1,material,154,2.75
3.10.4.1,material,369,63.0
3.10.4.2,material,15,11.75
3.10.4.2,material,122,0.035
3.10.4.2,material,370,1.1
3.10.4.3,material,15,11.75
3.10.4.3,material,122,0.035
3.10.4.3,material,371,1.1
3.10.5.1,material,352,0.25
3.10.5.1,material,372,2.2
