;NO;URAIAN PEKERJAAN;SATUAN;HARGA SATUAN;KETERANGAN;;;
;5.1.1.5.7;"Pemasangan 1 m' kabel NYFGBY 3 x 1,5 mm²
";m'; Rp47.630,00 ;0;0;;
;5.1.1.5.8;"Pemasangan 1 m' kabel NYFGBY 3 x 2,5 mm²
";m'; Rp55.676,00 ;0;0;;
;5.1.1.5.9;"Pemasangan 1 m' kabel NYFGBY 3 x 4 mm²
";m'; Rp76.928,00 ;0;0;;
;5.1.1.5.10;"Pemasangan 1 m' kabel NYFGBY 3 x 6 mm²
";m'; Rp98.945,00 ;0;0;;
;5.1.1.5.11;"Pemasangan 1 m' kabel NYFGBY 3 x 10 mm²
";m'; Rp120.197,00 ;0;0;;
;5.1.1.5.12;"Pemasangan 1 m' kabel NYFGBY 3 x 16 mm²
";m'; Rp185.273,00 ;0;0;;
;5.1.1.5.13;"Pemasangan 1 m' kabel NYFGBY 4 x 1,5 mm²
";m'; Rp48.818,00 ;0;0;;
;5.1.1.5.14;"Pemasangan 1 m' kabel NYFGBY 4 x 2,5 mm²
";m'; Rp63.200,00 ;0;0;;
;5.1.1.5.15;"Pemasangan 1 m' kabel NYFGBY 4 x 4 mm²
";m'; Rp99.368,00 ;0;0;;
;5.1.1.5.16;"Pemasangan 1 m' kabel NYFGBY 4 x 6 mm²
";m'; Rp107.789,00 ;0;0;;
;5.1.1.5.17;"Pemasangan 1 m' kabel NYFGBY 4 x 10 mm²
";m'; Rp147.917,00 ;0;0;;
;5.1.1.5.18;"Pemasangan 1 m' kabel NYFGBY 4 x 16 mm²
";m'; Rp230.516,00 ;0;0;;
;5.1.1.5.19;"Pemasangan 1 m' kabel NYFGBY 4 x 25 mm²
";m'; Rp351.279,00 ;0;0;;
;5.1.1.5.20;"Pemasangan 1 m' kabel NYFGBY 4 x 35 mm²
";m'; Rp445.450,00 ;0;0;;
;5.1.1.5.21;"Pemasangan 1 m' kabel NYFGBY 4 x 50 mm²
";m'; Rp588.417,00 ;0;0;;
;5.1.1.5.22;"Pemasangan 1 m' kabel NYFGBY 4 x 70 mm²
";m'; Rp819.560,00 ;0;0;;
;5.1.1.5.23;"Pemasangan 1 m' kabel NYFGBY 4 x 95 mm²
";m'; Rp1.041.980,00 ;0;0;;
;5.1.1.5.24;"Pemasangan 1 m' kabel NYFGBY 4 x 120 mm²
";m'; Rp1.354.936,00 ;0;0;;
;5.1.1.5.25;"Pemasangan 1 m' kabel NYFGBY 4 x 150 mm²
";m'; Rp1.642.894,00 ;0;0;;
;5.1.1.5.26;"Pemasangan 1 m' kabel NYFGBY 4 x 185 mm²
";m'; Rp2.041.479,00 ;0;0;;
;5.1.1.5.27;"Pemasangan 1 m' kabel NYFGBY 4 x 240 mm²
";m'; Rp2.636.601,00 ;0;0;;
;5.1.1.5.28;"Pemasangan 1 m' kabel NYFGBY 4 x 300 mm²
";m'; Rp3.257.991,00 ;0;0;;
;5.1.1.6;Kabel FRC 3 x 2,5 mm²;;;;;;
;5.1.1.6.1;"Pemasangan 1 m' kabel FRC 3 x 2,5 mm²
";m'; Rp60.610,00 ;0;0;;
;5.1.1.6.2;"Pemasangan 1 m' kabel FRC 4 x 4 mm²
";m'; Rp126.098,00 ;0;0;;
;5.1.1.6.3;"Pemasangan 1 m' kabel FRC 4 x 6 mm²
";m'; Rp151.398,00 ;0;0;;
;5.1.1.6.4;"Pemasangan 1 m' kabel FRC 4 x 150 mm²
";m'; Rp2.108.557,00 ;0;0;;
;5.1.1.6.5;"Pemasangan 1 m' kabel FRC 1 x 150 mm²
";m'; Rp408.105,00 ;0;0;;
;5.1.1.6.6;"Pemasangan 1 m' kabel FRC 2 x 1,5 mm² + PVC Conduit HI 20 mm2
 
";m'; Rp44.291,00 ;Revisi;Perubahan Bahan di gabung jadi satu ;;
;5.1.1.6.7;"Pemasangan 1 m' kabel FRC 2 x 2,5 mm² + PVC Conduit HI 20 mm2
 
";m'; Rp87.554,00 ;Revisi;Perubahan bahan jadi satu ;;
;5.1.1.7;Kabel BCC;;;;;;
;5.1.1.7.1;"Pemasangan 1 m' kabel BCC 4 mm² (0,04 kg/m)
 
";m'; Rp23.171,00 ;0;0;;
;5.1.1.7.2;"Pemasangan 1 m' kabel BCC 6 mm² (0,06 kg/m)
 
";m'; Rp56.441,00 ;Revisi;Perubahan penambahan acsesoris di bahan;;
;5.1.1.7.3;"Pemasangan 1 m' kabel BCC 10 mm² (0,10 kg/m)
 
";m'; Rp46.695,00 ;0;0;;
;5.1.1.7.4;"Pemasangan 1 m' kabel BCC 16 mm² (0,16 kg/m)
 
";m'; Rp51.755,00 ;0;0;;
;5.1.1.7.5;"Pemasangan 1 m' kabel BCC 25 mm² (0,25 kg/m)
 
";m'; Rp79.293,00 ;0;0;;
;5.1.1.7.6;"Pemasangan 1 m' kabel BCC 35 mm² (0,35 kg/m)
 
";m'; Rp106.205,00 ;0;0;;
;5.1.1.7.7;"Pemasangan 1 m' kabel BCC 50 mm² (0,50 kg/m)
 
";m'; Rp135.932,00 ;0;0;;
;5.1.1.7.8;"Pemasangan 1 m' kabel BCC 70 mm² (0,70 kg/m)
 
";m'; Rp197.015,00 ;0;0;;
;5.1.1.7.9;"Pemasangan 1 m' kabel BCC 95 mm² (0,95 kg/m)
 
";m'; Rp259.000,00 ;0;0;;
;5.1.1.8 ;Kabel STP;;;;;;
;5.1.1.8.1;"Pemasangan 1 m' Kabel STP AWG 18 + PVC Conduit HI 20 mm
";m'; Rp23.545,00 ;Revisi;Perubahan Bahan jadi satu ;;
;5.1.1.9;Kabel ITC ;m'; Rp- ;0;0;;
;5.1.1.9.1;Pemasangan 1 m' kabel ITC 2x2x0,6 mm2 + PVC Conduit HI 20 mm2;m'; Rp26.221,00 ;Revisi;Perubahan Koefisisen Bshan dr 1,15 jadi 1,125;;
;5.1.1.10;Kabel UTP;m'; Rp- ;0;0;;
;5.1.1.10.1;Pemasangan 1 m' kabel UTP CAT 6 + PVC Conduit HI 20 mm2;m'; Rp17.094,00 ;0;0;;
;5.1.1.11;Kabel Coaxial ;m'; Rp- ;0;0;;
;5.1.1.11.1;Pemasangan 1 m' kabel Coaxial 7C-2V ;m'; Rp41.948,00 ;0;0;;
;5.1.1.12;Kabel TRAY / Ladder;; Rp- ;0;0;;
;5.1.1.12.1;"Pemasangan 1 Unit Kabel Tray (Horizontal) 600x100mm TRU Powder Coating
";unit; Rp534.220,00 ;0;0;;
;5.1.1.12.2;"Pemasangan 1 unit kabel tray (horizontal) 500 x 100 mm
 
";unit; Rp475.095,00 ;0;0;;
;5.1.1.12.3;"Pemasangan 1 unit kabel tray (horizontal) 400 x 100 mm
 
";unit; Rp414.595,00 ;0;0;;
;5.1.1.12.4;"Pemasangan 1 unit kabel tray (horizontal) 300 x 100 mm
 
";unit; Rp351.345,00 ;0;0;;
;5.1.1.12.5;"Pemasangan 1 unit kabel tray (horizontal) 200 x 100 mm
 
";unit; Rp290.845,00 ;0;0;;
;5.1.1.12.6;"Pemasangan 1 unit kabel tray (vertikal) 600 x 100 mm
 
";unit; Rp514.860,00 ;0;0;;
;51.1.12.7;"Pemasangan 1 unit kabel tray (vertikal) 500 x 100 mm
 
";unit; Rp458.100,00 ;0;0;;
;5.1.1.12.8;"Pemasangan 1 unit kabel tray (vertikal) 400 x 100 mm
 
";unit; Rp400.020,00 ;0;0;;
;5.1.1.12.9;"Pemasangan 1 unit kabel tray (vertikal) 300 x 100 mm
 
";unit; Rp339.300,00 ;0;0;;
;5.1.1.12.10;"Pemasangan 1 unit kabel tray (vertikal) 200 x 100 mm
 
";unit; Rp281.220,00 ;0;0;;
;5.1.1.12.11;"Pemasangan 1 unit kabel Ladder  500 x 100 mm
 
";unit; Rp708.867,00 ;0;0;;
;5.1.1.12.12;"Pemasangan 1 unit kabel Ladder  600 x 100 mm
 
";unit; Rp762.987,00 ;0;0;;
;5.1.1.12.13;"Pemasangan 1 unit kabel Ladder  800 x 100 mm
 
";unit; Rp807.867,00 ;0;0;;
;5.1.1.12.14;"Pemasangan 1 unit pasang baja ringan 75 x 35 mm + Hanger
 
";unit; Rp441.302,00 ;0;0;;
;5.1.1.12.15;Pemasangan 1 Unit Kabel Tray (Horizontal) 1000 x 100 mm TRU Powder Coating;unit; Rp968.946,00 ;Baru ;0;;
;5.1.1.12.16;Pemasangan 1 Unit Kabel Tray (Horizontal) 1000 x 100 mm TRU Hot Dip Galvanized;unit; Rp996.446,00 ;Baru ;0;;
;5.1.1.12.17;Pemasangan 1 Unit Kabel Tray (Horizontal) 1000 x 100 mm TRU OCP;unit; Rp1.051.446,00 ;Baru ;0;;
;5.1.1.12.18;Pemasangan 1 Unit Kabel Tray (Horizontal) 1000 x 100 mm TRC Powder Coating;unit; Rp1.106.446,00 ;Baru ;0;;
;5.1.1.12.19;Pemasangan 1 Unit Kabel Tray (Horizontal) 1000 x 100 mm TRC Hot Dip Galvanized;unit; Rp996.446,00 ;Baru ;0;;
;5.1.1.12.20;Pemasangan 1 Unit Kabel Tray (Horizontal) 1000 x 100 mm TRC OCP;unit; Rp1.051.446,00 ;Baru ;0;;
;5.1.1.12.21;Pemasangan 1 Unit Kabel Tray (Horizontal) 900 x 100 mm TRU Powder Coating;unit; Rp831.446,00 ;Baru ;0;;
;5.1.1.12.22;"Pemasangan 1 Unit Kabel Tray (Horizontal) 900 x 100 mm
TRU Hot Dip Galvanized";unit; Rp858.946,00 ;Baru ;0;;
;5.1.1.12.23;"Pemasangan 1 Unit Kabel Tray (Horizontal) 900 x 100 mm
TRU OCP";unit; Rp886.446,00 ;Baru ;0;;
;5.1.1.12.24;Pemasangan 1 Unit Kabel Tray (Horizontal) 900 x 100 mm TRC Powder Coating;unit; Rp900.196,00 ;Baru ;0;;
;5.1.1.12.25;Pemasangan 1 Unit Kabel Tray (Horizontal) 900 x 100 mm TRC Hot Dip Galvanized;unit; Rp941.446,00 ;Baru ;0;;
;5.1.1.12.26;"Pemasangan 1 Unit Kabel Tray (Horizontal) 900 x 100 mm
TRC OCP";unit; Rp968.946,00 ;Baru ;0;;
;5.1.1.12.27;"Pemasangan 1 Unit Kabel Tray (Horizontal) 800 x 100 mm
TRU Powder Coating";unit; Rp625.196,00 ;Baru ;0;;
;5.1.1.12.28;"Pemasangan 1 Unit Kabel Tray (Horizontal) 800 x 100 mm
TRU Hot Dip Galvanized";unit; Rp666.446,00 ;Baru ;0;;
;5.1.1.12.29;"Pemasangan 1 Unit Kabel Tray (Horizontal) 800 x 100 mm
TRU OCP";unit; Rp693.946,00 ;Baru ;0;;
;5.1.1.12.30;"Pemasangan 1 Unit Kabel Tray (Horizontal) 800 x 100 mm
TRC Powder Coating";unit; Rp721.446,00 ;Baru ;0;;
;5.1.1.12.31;"Pemasangan 1 Unit Kabel Tray (Horizontal) 800 x 100 mm
TRC Hot Dip Galvanized";unit; Rp748.946,00 ;Baru ;0;;
;5.1.1.12.32; Pemasangan 1 Unit Kabel Tray (Horizontal) 800 x 100 mm TRC OCP ;unit; Rp776.446,00 ;Baru ;0;;
;5.1.1.12.33; Pemasangan 1 Unit Kabel Tray (Horizontal) 700 x 100 mm TRU Powder Coating ;unit; Rp531.470,00 ;Baru ;0;;
;5.1.1.12.34; Pemasangan 1 Unit Kabel Tray (Horizontal) 700 x 100 mm TRU Hot Dip Galvanized ;unit; Rp558.970,00 ;Baru ;0;;
;5.1.1.12.35; Pemasangan 1 Unit Kabel Tray (Horizontal) 700 x 100 mm TRU OCP ;unit; Rp586.470,00 ;Baru ;0;;
;5.1.1.12.36; Pemasangan 1 Unit Kabel Tray (Horizontal) 700 x 100 mm TRC Powder Coating ;unit; Rp613.970,00 ;Baru ;0;;
;5.1.1.12.37; Pemasangan 1 Unit Kabel Tray (Horizontal) 700 x 100 mm TRC Hot Dip Galvanized ;unit; Rp641.470,00 ;Baru ;0;;
;5.1.1.12.38; Pemasangan 1 Unit Kabel Tray (Horizontal) 700 x 100 mm TRC OCP ;unit; Rp668.970,00 ;Baru ;0;;
;5.1.1.12.39;" Pemasangan 1 unit Kabel Tray (Horizontal) 600x100mm TRU Hot Dip Galvanizer 
 
 ";unit; Rp2.303.845,00 ;0;0;;
;5.1.1.12.40; Pemasangan 1 unit Kabel Tray (Horizontal) 600x100mm TRU OCP ;unit; Rp1.776.533,00 ;0;0;;
;5.1.1.12.41; Pemasangan 1 unit Kabel Tray (Horizontal) 600x100mm TRC Powder Coating  ;unit; Rp1.273.970,00 ;0;0;;
;5.1.1.12.42; Pemasangan 1 Unit Kabel Tray (Horizontal) 600 x 100 mm TRC Hot Dip Galvanized ;unit; Rp531.470,00 ;Baru;0;;
;5.1.1.12.43; Pemasangan 1 Unit Kabel Tray (Horizontal) 600 x 100 mm TRC OCP ;unit; Rp558.970,00 ;Baru;0;;
;5.1.1.12.44; Pemasangan 1 Unit Kabel Tray (Horizontal) 500 x 100 mm TRU Hot Dip Galvanized ;unit; Rp579.595,00 ;Baru;0;;
;5.1.1.12.45; Pemasangan 1 Unit Kabel Tray (Horizontal) 500 x 100 mm TRU OCP ;unit; Rp593.345,00 ;Baru;0;;
;5.1.1.12.46; Pemasangan 1 Unit Kabel Tray (Horizontal) 500 x 100 mm TRC Powder Coating ;unit; Rp620.845,00 ;Baru;0;;
;5.1.1.12.47; Pemasangan 1 Unit Kabel Tray (Horizontal) 500 x 100 mm TRC Hot Dip Galvanized ;unit; Rp641.470,00 ;Baru;0;;
;5.1.1.12.48; Pemasangan 1 Unit Kabel Tray (Horizontal) 500 x 100 mm TRC OCP ;unit; Rp662.095,00 ;Baru;0;;
;5.1.1.12.49; Pemasangan 1 Unit Kabel Tray (Horizontal) 400 x 100 mm TRU Hot Dip Galvanized ;unit; Rp531.470,00 ;Baru;0;;
;5.1.1.12.50; Pemasangan 1 Unit Kabel Tray (Horizontal) 400 x 100 mm TRU OCP ;unit; Rp531.470,00 ;Baru;0;;
;5.1.1.12.51; Pemasangan 1 Unit Kabel Tray (Horizontal) 400 x 100 mm TRC Powder Coating ;unit; Rp572.720,00 ;Baru;0;;
;5.1.1.12.52; Pemasangan 1 Unit Kabel Tray (Horizontal) 400 x 100 mm TRC Hot Dip Galvanized ;unit; Rp593.345,00 ;Baru;0;;
;5.1.1.12.53; Pemasangan 1 Unit Kabel Tray (Horizontal) 400 x 100 mm TRC OCP ;unit; Rp613.970,00 ;Baru;0;;
;5.1.1.12.54; Pemasangan 1 Unit Kabel Tray (Horizontal) 300 x 100 mm TRU Hot Dip Galvanized ;unit; Rp462.720,00 ;Baru;0;;
;5.1.1.12.55; Pemasangan 1 Unit Kabel Tray (Horizontal) 300 x 100 mm TRU OCP ;unit; Rp490.220,00 ;Baru;0;;
;5.1.1.12.56; Pemasangan 1 Unit Kabel Tray (Horizontal) 300 x 100 mm TRC Powder Coating ;unit; Rp517.720,00 ;Baru;0;;
;5.1.1.12.57; Pemasangan 1 Unit Kabel Tray (Horizontal) 300 x 100 mm TRC Hot Dip Galvanized ;unit; Rp545.220,00 ;Baru;0;;
;5.1.1.12.58; Pemasangan 1 Unit Kabel Tray (Horizontal) 300 x 100 mm TRC OCP ;unit; Rp572.720,00 ;Baru;0;;
;5.1.1.12.59; Pemasangan 1 Unit Kabel Tray (Horizontal) 200 x 100 mm TRU Hot Dip Galvanized ;unit; Rp600.220,00 ;Baru;0;;
;5.1.1.12.60; Pemasangan 1 Unit Kabel Tray (Horizontal) 200 x 100 mm TRU OCP ;unit; Rp393.970,00 ;Baru;0;;
;5.1.1.12.61; Pemasangan 1 Unit Kabel Tray (Horizontal) 200 x 100 mm TRC Powder Coating ;unit; Rp421.470,00 ;Baru;0;;
;5.1.1.12.62; Pemasangan 1 Unit Kabel Tray (Horizontal) 200 x 100 mm TRC Hot Dip Galvanized ;unit; Rp435.220,00 ;Baru;0;;
;5.1.1.12.63; Pemasangan 1 Unit Kabel Tray (Horizontal) 200 x 100 mm TRC OCP ;unit; Rp462.720,00 ;Baru;0;;
;5.1.1.12.64; Pemasangan 1 Unit Kabel Tray (Horizontal) 150 x 100 mm TRU Powder Coating ;unit; Rp393.970,00 ;Baru;0;;
;5.1.1.12.65; Pemasangan 1 Unit Kabel Tray (Horizontal) 150 x 100 mm TRU Hot Dip Galvanized ;unit; Rp407.720,00 ;Baru;0;;
;5.1.1.12.66; Pemasangan 1 Unit Kabel Tray (Horizontal) 150 x 100 mm TRU OCP ;unit; Rp435.220,00 ;Baru;0;;
;5.1.1.12.67; Pemasangan 1 Unit Kabel Tray (Horizontal) 150 x 100 mm TRC Powder Coatingmasangan 1 Unit Kabel Tray (Horizontal) 150 x 100 mm TRU OCP ;unit; Rp462.720,00 ;Baru;0;;
;5.1.1.12.68; Pemasangan 1 Unit Kabel Tray (Horizontal) 150 x 100 mm TRC Hot Dip Galvanized ;unit; Rp490.220,00 ;Baru;0;;
;5.1.1.12.69; Pemasangan 1 Unit Kabel Tray (Horizontal) 150 x 100 mm TRC OCP ;unit; Rp556.446,00 ;Baru;0;;
;5.1.1.12.70; Pemasangan 1 Unit Kabel Tray (Vertikal) 1000 x 100 mm TRU Powder Coating ;unit; Rp531.470,00 ;Baru;0;;
;5.1.1.12.71; Pemasangan 1 Unit Kabel Tray (Vertikal) 1000 x 100 mm TRU Hot Dip Galvanized ;unit; Rp563.596,00 ;Baru;0;;
;5.1.1.12.72; Pemasangan 1 Unit Kabel Tray (Vertikal) 1000 x 100 mm TRU OCP ;unit; Rp589.996,00 ;Baru;0;;
;5.1.1.12.73; Pemasangan 1 Unit Kabel Tray (Vertikal) 1000 x 100 mm TRC Powder Coating ;unit; Rp603.196,00 ;Baru;0;;
;5.1.1.12.74; Pemasangan 1 Unit Kabel Tray (Vertikal) 1000 x 100 mm TRC Hot Dip Galvanized\ ;unit; Rp616.396,00 ;Baru;0;;
;5.1.1.12.75; Pemasangan 1 Unit Kabel Tray (Vertikal) 1000 x 100 mm TRC OCP ;unit; Rp629.596,00 ;Baru;0;;
;5.1.1.12.76; Pemasangan 1 Unit Kabel Tray (Vertikal) 900 x 100 mm TRU Powder Coating ;unit; Rp523.996,00 ;Baru;0;;
;5.1.1.12.77; Pemasangan 1 Unit Kabel Tray (Vertikal) 900 x 100 mm TRU Hot Dip Galvanized ;unit; Rp537.196,00 ;Baru;0;;
;5.1.1.12.78; Pemasangan 1 Unit Kabel Tray (Vertikal) 900 x 100 mm TRU OCP ;unit; Rp550.396,00 ;Baru;0;;
;5.1.1.12.79; Pemasangan 1 Unit Kabel Tray (Vertikal) 900 x 100 mm TRC Powder Coating ;unit; Rp563.596,00 ;Baru;0;;
;5.1.1.12.80; Pemasangan 1 Unit Kabel Tray (Vertikal) 900 x 100 mm TRC Hot Dip Galvanized ;unit; Rp576.796,00 ;Baru;0;;
;5.1.1.12.81; Pemasangan 1 Unit Kabel Tray (Vertikal) 900 x 100 mm TRC OCP ;unit; Rp589.996,00 ;Baru;0;;
;5.1.1.12.82; Pemasangan 1 Unit Kabel Tray (Vertikal) 800 x 100 mm TRU Powder Coating ;unit; Rp537.196,00 ;Baru;0;;
;5.1.1.12.83; Pemasangan 1 Unit Kabel Tray (Vertikal) 800 x 100 mm TRU Hot Dip Galvanized ;unit; Rp550.396,00 ;Baru;0;;
;5.1.1.12.84; Pemasangan 1 Unit Kabel Tray (Vertikal) 800 x 100 mm TRU OCP ;unit; Rp563.596,00 ;Baru;0;;
;5.1.1.12.85; Pemasangan 1 Unit Kabel Tray (Vertikal) 800 x 100 mm TRC Powder Coating ;unit; Rp576.796,00 ;Baru;0;;
;5.1.1.12.86; Pemasangan 1 Unit Kabel Tray (Vertikal) 800 x 100 mm TRC Hot Dip Galvanized ;unit; Rp589.996,00 ;Baru;0;;
;5.1.1.12.87; Pemasangan 1 Unit Kabel Tray (Vertikal) 800 x 100 mm TRC OCP ;unit; Rp603.196,00 ;Baru;0;;
;5.1.1.12.88; Pemasangan 1 Unit Kabel Tray (Vertikal) 700 x 100 mm TRU Powder Coating ;unit; Rp499.020,00 ;Baru;0;;
;5.1.1.12.89; Pemasangan 1 Unit Kabel Tray (Vertikal) 700 x 100 mm TRU Hot Dip Galvanized ;unit; Rp512.220,00 ;Baru;0;;
;5.1.1.12.90; Pemasangan 1 Unit Kabel Tray (Vertikal) 700 x 100 mm TRU OCP ;unit; Rp525.420,00 ;Baru;0;;
;5.1.1.12.91; Pemasangan 1 Unit Kabel Tray (Vertikal) 700 x 100 mm TRC Powder Coating ;unit; Rp538.620,00 ;Baru;0;;
;5.1.1.12.92; Pemasangan 1 Unit Kabel Tray (Vertikal) 700 x 100 mm TRC Hot Dip Galvanized ;unit; Rp551.820,00 ;Baru;0;;
;5.1.1.12.93; Pemasangan 1 Unit Kabel Tray (Vertikal) 700 x 100 mm TRC OCP ;unit; Rp565.020,00 ;Baru;0;;
;5.1.1.12.94; Pemasangan 1 Unit Kabel Tray (Vertikal) 600 x 100 mm TRU Hot Dip Galvanized ;unit; Rp499.020,00 ;Baru;0;;
;5.1.1.12.95; Pemasangan 1 Unit Kabel Tray (Vertikal) 600 x 100 mm TRU OCP ;unit; Rp512.220,00 ;Baru;0;;
;5.1.1.12.96;" Pemasangan 1 Unit Kabel Tray (Vertikal) 600 x 100 mm TRC
Powder Coating ";unit; Rp525.420,00 ;Baru;0;;
;5.1.1.12.97;" Pemasangan 1 Unit Kabel Tray (Vertikal) 600 x 100 mm TRC
Hot Dip Galvanized ";unit; Rp538.620,00 ;Baru;0;;
;5.1.1.12.98;" Pemasangan 1 Unit Kabel Tray (Vertikal) 600 x 100 mm TRC
OCP ";unit; Rp565.020,00 ;Baru;0;;
;5.1.1.12.99;" Pemasangan 1 Unit Kabel Tray (Vertikal) 500 x 100 mm TRU
Hot Dip Galvanized ";unit; Rp499.020,00 ;Baru;0;;
;5.1.1.12.100;" Pemasangan 1 Unit Kabel Tray (Vertikal) 500 x 100 mm TRU
OCP ";unit; Rp512.220,00 ;Baru;0;;
;5.1.1.12.101;" Pemasangan 1 Unit Kabel Tray (Vertikal) 500 x 100 mm TRC
Powder Coating ";unit; Rp525.420,00 ;Baru;0;;
;5.1.1.12.102;" Pemasangan 1 Unit Kabel Tray (Vertikal) 500 x 100 mm TRC
Hot Dip Galvanized ";unit; Rp538.620,00 ;Baru;0;;
;5.1.1.12.103;" Pemasangan 1 Unit Kabel Tray (Vertikal) 500 x 100 mm TRC
OCP ";unit; Rp551.820,00 ;Baru;0;;
;5.1.1.12.104;" Pemasangan 1 Unit Kabel Tray (Vertikal) 400 x 100 mm TRU
Hot Dip Galvanized ";unit; Rp499.020,00 ;Baru;0;;
;5.1.1.12.105;" Pemasangan 1 Unit Kabel Tray (Vertikal) 400 x 100 mm TRU
OCP ";unit; Rp512.220,00 ;Baru;0;;
;5.1.1.12.106;" Pemasangan 1 Unit Kabel Tray (Vertikal) 400 x 100 mm TRC
Powder Coating ";unit; Rp525.420,00 ;Baru;0;;
;5.1.1.12.107;" Pemasangan 1 Unit Kabel Tray (Vertikal) 400 x 100 mm TRC
Hot Dip Galvanized ";unit; Rp538.620,00 ;Baru;0;;
;5.1.1.12.108;" Pemasangan 1 Unit Kabel Tray (Vertikal) 400 x 100 mm TRC
OCP ";unit; Rp551.820,00 ;Baru;0;;
;5.1.1.12.109;" Pemasangan 1 Unit Kabel Tray (Vertikal) 300 x 100 mm TRU
Hot Dip Galvanized ";unit; Rp499.020,00 ;Baru;0;;
;5.1.1.12.110;" Pemasangan 1 Unit Kabel Tray (Vertikal) 300 x 100 mm TRU
OCP ";unit; Rp512.220,00 ;Baru;0;;
;5.1.1.12.111;" Pemasangan 1 Unit Kabel Tray (Vertikal) 300 x 100 mm TRC
Powder Coating ";unit; Rp525.420,00 ;Baru;0;;
;5.1.1.12.112;" Pemasangan 1 Unit Kabel Tray (Vertikal) 300 x 100 mm TRC
Hot Dip Galvanized ";unit; Rp538.620,00 ;Baru;0;;
;5.1.1.12.113;" Pemasangan 1 Unit Kabel Tray (Vertikal) 300 x 100 mm TRC
OCP ";unit; Rp551.820,00 ;Baru;0;;
;5.1.1.12.114;" Pemasangan 1 Unit Kabel Tray (Vertikal) 200 x 100 mm TRU
Hot Dip Galvanized ";unit; Rp485.820,00 ;Baru;0;;
;5.1.1.12.115;" Pemasangan 1 Unit Kabel Tray (Vertikal) 200 x 100 mm TRU
OCP ";unit; Rp499.020,00 ;Baru;0;;
;5.1.1.12.116;" Pemasangan 1 Unit Kabel Tray (Vertikal) 200 x 100 mm TRC
Powder Coating ";unit; Rp512.220,00 ;Baru;0;;
;5.1.1.12.117;" Pemasangan 1 Unit Kabel Tray (Vertikal) 200 x 100 mm TRC
Hot Dip Galvanized ";unit; Rp525.420,00 ;Baru;0;;
;5.1.1.12.118;" Pemasangan 1 Unit Kabel Tray (Vertikal) 200 x 100 mm TRC
OCP ";unit; Rp538.620,00 ;Baru;0;;
;5.1.1.12.119;" Pemasangan 1 Unit Kabel Tray (Vertikal) 150 x 100 mm TRU
Powder Coating ";unit; Rp485.820,00 ;Baru;0;;
;5.1.1.12.120;" Pemasangan 1 Unit Kabel Tray (Vertikal) 150 x 100 mm TRU
Hot Dip Galvanized ";unit; Rp499.020,00 ;Baru;0;;
;5.1.1.12.121;" Pemasangan 1 Unit Kabel Tray (Vertikal) 150 x 100 mm TRU
OCP ";unit; Rp512.220,00 ;Baru;0;;
;5.1.1.12.122;" Pemasangan 1 Unit Kabel Tray (Vertikal) 150 x 100 mm TRC
Powder Coating ";unit; Rp525.420,00 ;Baru;0;;
;5.1.1.12.123;" Pemasangan 1 Unit Kabel Tray (Vertikal) 150 x 100 mm TRC
Hot Dip Galvanized ";unit; Rp538.620,00 ;Baru;0;;
;5.1.1.12.124;" Pemasangan 1 Unit Kabel Tray (Vertikal) 150 x 100 mm TRC
OCP ";unit; Rp551.820,00 ;Baru;0;;
;5.1.2; Pemasangan Panel Listrik  ;unit; Rp- ;0;0;;
;5.1.2.1; Pemasangan 1 Unit Panel Utama Tegangan Menengah (PUTM) ;unit; Rp4.987.933,00 ;0;0;;
;5.1.2.2; Pemasangan 1 Unit Panel Utama Tegangan Redah (PUTR) per Kubikal  ;unit; Rp3.052.709,00 ;0;0;;
;5.1.2.3; Pemasangan 1 Unit Main Distribution Panel (MDP) Floor Standing  ;unit; Rp5.511.044,00 ;0;0;;
;5.1.2.4; Pemasangan 1 Unit Main Distribution Panel (MDP) Wall Mounted  ;unit; Rp5.880.913,00 ;0;0;;
;5.1.2.5; Pemasangan 1 Unit Sub Distribution Panel (SDP) Floor Standig  ;unit; Rp4.302.831,00 ;0;0;;
;5.1.2.6; Pemasangan 1 Unit Sub Distribution Panel (SDP) Wall Maunted   ;unit; Rp4.006.777,00 ;0;0;;
;5.1.2.7; Pemasangan 1 Unit Panel Lantai Wall Mounted (800x 600 x200 mm) ;unit; Rp3.783.609,00 ;0;0;;
;5.1.2.8; Pemasangan 1 Unit Panel Lantai Wall Mounted (600x 400 x200 mm) ;unit; Rp3.536.346,00 ;0;0;;
;5.1.2.9; Pemasangan 1 Unit Panel kWh Meter  ;unit; Rp3.202.831,00 ;0;0;;
;5.1.2.10; Pemasangan 1 Unit Panel Penerang Luar Outdoor  ;unit; Rp4.043.479,00 ;0;0;;
;5.1.2.11; Pemasangan 1 Unit Panel Kontrol (Pompa Transfer, Pompa Kolam Renang,Water Treatment Plat (WTP), Instalasi Pengelolaan Air Limbah ( IPAL), dan Power Lift) ;unit; Rp6.286.346,00 ;0;0;;
;5.1.2.16; Pemasangan 1 Unit Panel Power Gondola  ;unit; Rp6.463.479,00 ;0;0;;
;5.1.2.17; Pemasangan 1 Unit Panel Power Elektronik  ;unit; Rp4.113.609,00 ;0;0;;
;5.1.2.18; Pemasangan 1 Unit Panel Power AHU ;unit; Rp5.880.913,00 ;0;0;;
